Member_Name_Surname_Per_Redemption,Reward_Received,Brand,Reward_Value_Amount_in_Dollars,Time_to_Reward_Received_in_Seconds,Redemptions_by_User,Point_Value_per_Redemption,Satisfaction_Rating_on_Reward,Cost_Per_Redemption_in_Dollars,Country
Jane Smith,Amazon Gift Card,Uber,50,43,8,500,3.906215812,66,Kenya
David Thompson,Coursera Subscription,Amazon,10,9,2,250,3.797087902,67,Kenya
James Wilson,Netflix Gift Card,Coursera,50,5,9,750,4.372270532,72,Kenya
David Thompson,Spotify Subscription,Amazon,50,23,5,750,4.209810823,24,Kenya
Alice Johnson,Spotify Gift Card,Coursera,10,41,7,1000,3.767191664,41,Kenya
John Doe,Spotify Subscription,Spotify,50,14,9,250,3.145368446,52,Kenya
Jane Smith,Spotify Subscription,Amazon,75,49,7,1000,4.452482868,62,Kenya
Bob Brown,Spotify Gift Card,Amazon,50,16,3,500,3.846510613,63,South Africa
Sarah Clark,Amazon Gift Card,Uber,25,36,7,1000,4.753615404,58,Kenya
Emily Davis,Uber Gift Card,Spotify,75,17,3,750,3.412657024,85,Nigeria
Sarah Clark,Coursera Subscription,Coursera,50,25,8,1000,4.053064163,20,Kenya
Carol White,Amazon Gift Card,Spotify,50,9,8,250,3.684762837,79,Rwanda
Emily Davis,Coursera Gift Card,Netflix,10,38,6,500,3.455404682,93,Nigeria
Sarah Clark,Netflix Subscription,Spotify,50,3,2,750,4.842789576,43,Kenya
Alice Johnson,Netflix Subscription,Amazon,10,29,3,250,3.99932447,52,Kenya
Sarah Clark,Spotify Gift Card,Coursera,10,52,8,500,3.508950417,49,Kenya
Sarah Clark,Coursera Gift Card,Coursera,100,23,5,1000,3.413688948,20,Kenya
Jane Smith,Amazon Gift Card,Coursera,25,42,7,250,4.899910492,39,Kenya
Michael Lee,Amazon Gift Card,Netflix,10,7,6,1000,4.681973171,25,Rwanda
Jane Smith,Amazon Gift Card,Netflix,10,35,9,250,3.713900295,46,Kenya
Bob Brown,Uber Gift Card,Netflix,75,4,7,500,4.5560037,73,South Africa
Jane Smith,Coursera Gift Card,Spotify,50,7,6,500,3.51877835,60,Kenya
